Team_Id,Team_Name,Team_Name_Short
1001,AFC Bournemouth,BOU
1002,Arsenal,ARS
1003,Aston Villa,AVL
1004,Burnley,BUR
1005,Cardiff City,CAR
1006,Chelsea,CHE
1007,Crystal Palace,CRY
1008,Everton,EVE
1009,Fulham,FUL
1010,Hull City,HUL
1011,Leicester City,LEI
1012,Liverpool,LIV
1013,Manchester City,MCFC
1014,Manchester United,MUFC
1015,Middlesbrough,MID
1016,Newcastle United,NUFC
1017,Norwich City,NOR
1018,Queens Park Rangers,QPR
1019,Southampton,SOT
1020,Stoke City,STK
1021,Sunderland,SUN
1022,Swansea City,SWAN
1023,Tottenham Hotspur,TOT
1024,Watford,WAT
1025,West Bromwich Albion,WBA
1026,West Ham United,WHU
